brand,model,size,color,lobes,weight,strength,lower,upper,range,usable_lower,usable_upper
Fixe Hardware,Alien LITE,1/3,black,4,46,5,8,14,6,8.6,11.6
Fixe Hardware,Alien LITE,3/8,blue,4,48,6,10,17,7,10.7,14.2
Fixe Hardware,Alien LITE,1/2,green,4,52,7,13,22,9,13.9,18.4
Fixe Hardware,Alien LITE,3/4,yellow,4,58,10,15,25,10,16,21
Fixe Hardware,Alien LITE,7/8,grey,4,59,10,17,30,13,18.3,24.8
Fixe Hardware,Alien LITE,1,red,4,61,10,20,33,13,21.3,27.8
Fixe Hardware,Alien Revolution,1/3,black,4,46,5,8,14,6,8.6,11.6
Fixe Hardware,Alien Revolution,3/8,blue,4,48,6,10,17,7,10.7,14.2
Fixe Hardware,Alien Revolution,1/2,green,4,52,7,13,22,9,13.9,18.4
Fixe Hardware,Alien Revolution,3/4,yellow,4,58,10,15,25,10,16,21
Fixe Hardware,Alien Revolution,7/8,grey,4,59,10,17,30,13,18.3,24.8
Fixe Hardware,Alien Revolution,1,red,4,61,10,20,33,13,21.3,27.8
Totem,Basic,0.5,blue,4,56,5,11.2,17.4,6.2,11.82,14.92
Totem,Basic,0.65,green,4,60,7,13.6,21.4,7.8,14.38,18.28
Totem,Basic,0.75,yellow,4,68,9,16.6,26.1,9.5,17.55,22.3
Totem,Basic,0.95,red,4,72,11,19.9,31.6,11.7,21.07,26.92
Totem,Totem,0.5,black,4,69,6,11.7,18.9,7.2,12.42,16.02
Totem,Totem,0.65,blue,4,75,8,13.8,22.5,8.7,14.67,19.02
Totem,Totem,0.8,yellow,4,83,9,17,27.7,10.7,18.07,23.42
Totem,Totem,1,purple,4,95,10,20.9,34.2,13.3,22.23,28.88
Totem,Totem,1.25,green,4,109,13,25.7,42.3,16.6,27.36,35.66
Totem,Totem,1.5,red,4,132.5,13,31.6,52.2,20.6,33.66,43.96
Totem,Totem,1.8,orange,4,144,13,39.7,64.2,24.5,42.15,54.4
Black Diamond,Camalot C3,000,gray,3,55,4,7.8,12.9,5.1,8.31,10.86
Black Diamond,Camalot C3,00,purple,3,57,6,9,13.7,4.7,9.47,11.82
Black Diamond,Camalot C3,0,green,3,59,7,10.7,15.8,5.1,11.21,13.76
Black Diamond,Camalot C3,1,red,3,62,10,12,18.8,6.8,12.68,16.08
Black Diamond,Camalot C3,2,yellow,3,66,10,14.2,22.6,8.4,15.04,19.24
